Airline,Week,Month,UniqueCarrier,CarrierDelay
AirTran,7,,FL,10.686669352
AirTran,6,,FL,10.658555730
AirTran,5,,FL,8.422964763
AirTran,4,,FL,9.304327949
AirTran,3,,FL,9.096955833
AirTran,2,,FL,8.009650957
AirTran,1,,FL,9.147530864
Southwest Airlines Co.,7,,WN,10.836646500
Southwest Airlines Co.,6,,WN,13.066529492
Southwest Airlines Co.,5,,WN,10.236286152
Southwest Airlines Co.,4,,WN,10.969809337
Southwest Airlines Co.,3,,WN,12.065145244
Southwest Airlines Co.,2,,WN,11.059877926
Southwest Airlines Co.,1,,WN,10.573842684
Frontier Airlines Inc.,7,,F9,16.314415437
Frontier Airlines Inc.,6,,F9,16.116937598
Frontier Airlines Inc.,5,,F9,14.821383648
Frontier Airlines Inc.,4,,F9,13.484771574
Frontier Airlines Inc.,3,,F9,17.084472656
Frontier Airlines Inc.,2,,F9,16.685686178
Frontier Airlines Inc.,1,,F9,15.226685134
Continental Airlines,7,,CO,18.346862033
Continental Airlines,6,,CO,22.087554269
Continental Airlines,5,,CO,14.347939436
Continental Airlines,4,,CO,16.677011837
Continental Airlines,3,,CO,16.155842658
Continental Airlines,2,,CO,14.804263566
Continental Airlines,1,,CO,18.198357477
Express Jet,7,,XE,18.250230746
Express Jet,6,,XE,20.481389192
Express Jet,5,,XE,16.101159025
Express Jet,4,,XE,15.877631801
Express Jet,3,,XE,16.363884189
Express Jet,2,,XE,15.601777362
Express Jet,1,,XE,17.451009174
American Eagle Airlines Inc.,7,,MQ,18.822954461
American Eagle Airlines Inc.,6,,MQ,21.164451827
American Eagle Airlines Inc.,5,,MQ,16.843019093
American Eagle Airlines Inc.,4,,MQ,17.407738095
American Eagle Airlines Inc.,3,,MQ,17.951618718
American Eagle Airlines Inc.,2,,MQ,15.724736195
American Eagle Airlines Inc.,1,,MQ,16.217233650
JetBlue Airways,7,,B6,17.427997993
JetBlue Airways,6,,B6,19.683270282
JetBlue Airways,5,,B6,15.930833971
JetBlue Airways,4,,B6,18.954266482
JetBlue Airways,3,,B6,16.362674651
JetBlue Airways,2,,B6,17.023722276
JetBlue Airways,1,,B6,18.932446622
United Air Lines Inc.,7,,UA,17.911957860
United Air Lines Inc.,6,,UA,21.863128733
United Air Lines Inc.,5,,UA,16.529270509
United Air Lines Inc.,4,,UA,16.686781191
United Air Lines Inc.,3,,UA,17.885222267
United Air Lines Inc.,2,,UA,18.022481459
United Air Lines Inc.,1,,UA,18.019563888
US Airways Inc.,7,,US,18.755851359
US Airways Inc.,6,,US,21.470946054
US Airways Inc.,5,,US,17.219572777
US Airways Inc.,4,,US,17.278729157
US Airways Inc.,3,,US,18.304177865
US Airways Inc.,2,,US,17.936752988
US Airways Inc.,1,,US,19.047760537
Skywest Airlines Inc.,7,,OO,19.781690650
Skywest Airlines Inc.,6,,OO,20.616269841
Skywest Airlines Inc.,5,,OO,17.844120196
Skywest Airlines Inc.,4,,OO,18.246325311
Skywest Airlines Inc.,3,,OO,17.556140988
Skywest Airlines Inc.,2,,OO,18.203126335
Skywest Airlines Inc.,1,,OO,17.929565040
Delta Air Lines Inc.,7,,DL,21.214802399
